Impact_group	Impact_term_NL	Impact_term_EN	Condition	Neg-filter	Category	Comments	Comments			Valid cats
verb_discontinuous_phrase		(tear|tears|tore) (my|your) heart			N					Att
verb_discontinuous_phrase		(absorb|absorbes|absorbed) (me|you|reader)			Att					A
verb_discontinuous_phrase		(absorb|absorbes|absorbed) (me|you|reader)			N					N
adjective_term_book_related	verslavend	(addicting|addictive)			Att					Sur
adjective_term_book_related	verslavend	(addicting|addictive)			N					H
verb_term_book_related		(address|addresses|addressed)	@topic		R					Neg
verb_continuous_phrase		(affect|affects|affected) (me|uyou|reader)			A					Neu
verb_continuous_phrase	opgaan	(am|are|is|be|was) (engrossed|immersed) in			Att					R
verb_continuous_phrase	opgaan	(am|are|is|be|was) (engrossed|immersed) in			N					S
adjective_term_reader_related	geraakt	(am|is|was) (moved)	@reader		N					
adjective_term_reader_related	geraakt	(am|is|was) (touched)	@reader		N					
verb_continuous_phrase		(am|is|was) hooked			Att					
verb_continuous_phrase		(am|is|was) hooked			N					
verb_term_reader_related		(analyse|analyses|analysed|analyze|analyzes|analyzed)	@reader		R					
verb_continuous_phrase	(spreekt|spreken|sprak|spraken) (me) (aan)	(appeals|appealed) (to) (me|you)			A					
verb_discontinuous_phrase	(spreekt|spreken|sprak|spraken) (me) (aan)	(appeals|appealed) (to) (me|you)	@character		N					
verb_discontinuous_phrase	(spreekt|spreken|sprak|spraken) (me) (aan)	(appeals|appealed) (to) (me|you)	@plot		N					
verb_discontinuous_phrase	(spreekt|spreken|sprak|spraken) (me) (aan)	(appeals|appealed) (to) (me|you)	@style		S					
verb_discontinuous_phrase		(attention|interest) (dwindle|dwindles|dwindled)			Neg					
noun_continuous_phrase		(bad ass|badass|bad-ass)			N					
adjective_term_book_related	bloedstollend	(blood-curdling|bloodcurdling)			N					
verb_term_reader_related		(blow|blows|blew)(your|my) mind			R					
verb_discontinuous_phrase		(break|breaks|broke) (my|your) heart			N					
verb_continuous_phrase	zucht van verlichting	(breathe|breathes|breathed) a sigh			N					
adjective_term_book_related	opgebouwd	(build|builds|built)	@plot		N					
adjective_term_book_related	opgebouwd	(build|builds|built)	@character		N					
verb_discontinuous_phrase		(build|builds|built) up			N					
noun_continuous_phrase	schaterlach	(burst|bursts) of laughter			H					
verb_continuous_phrase	schaterlachen	(burst|bursts) out laughing			H					
verb_discontinuous_phrase	(ik|je) toeroepen	(call out) (to) (you|me|reader)			A					
verb_continuous_phrase		(call|calls|called) into question			R					
verb_continuous_phrase		(call|calls|called|bring|brings|brought) to mind			R					
verb_discontinuous_phrase	(krijg|krijg) (geen|niet) (genoeg van)	(can't|couldn't|can not|could not) (get enough)			Att					
verb_discontinuous_phrase	(krijg|krijg) (geen|niet) (genoeg van)	(can't|couldn't|can not|could not) (get enough)			A					
verb_discontinuous_phrase		(can't|couldn't|can not|could not) (stop|end) (reading|flipping|turning)			Att					
verb_discontinuous_phrase		(can't|couldn't|can not|could not) (stop|end) (reading|flipping|turning)			A					
verb_discontinuous_phrase		(captivate|captivates|captivated) attention			Att					
verb_discontinuous_phrase		(captivate|captivates|captivated) attention			A					
verb_discontinuous_phrase		(capture|captures|captured) (my|your|the) attention			Att					
verb_discontinuous_phrase		(capture|captures|captured) (my|your|the) attention			A					
adjective_term_reader_related	geroerd	(catch|catches|caught) (me|you)			A					
verb_discontinuous_phrase		(change|changed|alter|altered|shift|shifted|reassess|reassessed) (my|your|reader's|that|this) opinion			R					
verb_discontinuous_phrase		(change|changes|changed)(your|my) mind			R					
verb_discontinuous_phrase		(change|changes|changed|alter|alters|altered|shift|shifts|shifted|question|questions|questioned|broaden|broadens|broadened) (my|your|reader's) perspective			R					
noun_term_book_related	cliché	(cliche|cliches|chlich|cliched)			Neg					
noun_term_book_related		(cliffhanger|cliff hanger|cliff-hanger)			N					
verb_discontinuous_phrase	(komt|komen) (op) (me|mij) (over)	(come|comes|came) across to (me|you|reader)			A					
verb_discontinuous_phrase	(kom*|gekomen|kwam*) (tot leven)	(come|comes|came) alive			N					
